Kind of Pet,Pet Full Name,All Pet Everyday Names,Pet Everyday Name 1,Pet Everyday Name 2,Pet Everyday Name 3,Pet Everyday Name 4,Pet Everyday Name 5,Pet Everyday Name 6,Pet Everyday Name 7,Pet Everyday Name 8,Pet Age (Years),Deceased?,All Pet Breed(s),Pet Breed 1,Pet Breed 2,Pet Breed 3
Dog,Widget,Widget,Widget,,,,,,,,5,,Miniature Dachshund,Miniature Dachshund,,
Dog,Stella Bo Bella,Stella,Stella,,,,,,,,6.5,,Mixed,Mixed,,
Cat,Meryl Streep,Merrill,Merrill,,,,,,,,8,,,,,
Dog,Tilly,Tills,Tills,,,,,,,,13,,Labrador Retriever,Labrador Retriever,,
Cat,Pumpkin,Pumpkin,Pumpkin,,,,,,,,12,,,,,
Dog,Peter Peter Pumpkin Eater,Petey,Petey,,,,,,,,5,,Pitbull,Pitbull,,
Cat,Jacques,Jacques,Jacques,,,,,,,,12,,,,,
Dog,Remy,Rem,Rem,,,,,,,,1,,,,,
Dog,Oreo,Oreo,Oreo,,,,,,,,7,,Mixed,Mixed,,
Dog,Ljus,Ljus,Ljus,,,,,,,,0.269230769,,Golden Retriever,Golden Retriever,,
Dog,Bambi,Bambs,Bambs,,,,,,,,3,,,,,
Cat,Marie Curie,Marie,Marie,,,,,,,,3,,,,,
Cat,Clarence,Clarence,Clarence,,,,,,,,12,,Russian Blue,Russian Blue,,
Dog,Layla ‘the Tank’,Layla,Layla,,,,,,,,3,,Pitbull,Pitbull,,
Cat,Amber,Ambs,Ambs,,,,,,,,10,,Domestic Shorthair,Domestic Shorthair,,
Dog,Benny,Ben,Ben,,,,,,,,1,,Mastiff/ Great Dane,Mastiff,Great Dane,
Dog,Milo,Milo,Milo,,,,,,,,7,,Bichon Frise,Bichon Frise,,
Dog,Mocha,Mocha,Mocha,,,,,,,,3,,Pitbull/ Terrier,Pitbull,Terrier,
Dog,Shadow,Shadow,Shadow,,,,,,,,15.5,,Golden Retriever,Golden Retriever,,
Cat,Little Bit,Skittles,Skittles,,,,,,,,10,,Tabby Coloration,Tabby Coloration,,
Dog,Luna,Luna,Luna,,,,,,,,1,,Great Pyrenees,Great Pyrenees,,
Cat,Garrison,Garrison,Garrison,,,,,,,,9,,Russian Blue,Russian Blue,,
Dog,Cody,Baby; Pookie,Baby,Pookie,,,,,,,13,,Labrador Retriever/ Cocker Spaniel,Labrador Retriever,Cocker Spaniel,
Hamster,Hammy,Ham,Ham,,,,,,,,1,,Russian Dwarf,Russian Dwarf,,
Cat,Zoey,Zoey,Zoey,,,,,,,,13,,,,,
Dog,Oatmeal,Oatmeal,Oatmeal,,,,,,,,0.583333333,,Golden Retriever,Golden Retriever,,
Dog,Ginger,Nugget,Nugget,,,,,,,,10,,Chihuahua,Chihuahua,,
Cat,Lucy,Lucy,Lucy,,,,,,,,4,,Russian Blue,Russian Blue,,
Dog,Starbuck Louise,Starbuck,Starbuck,,,,,,,,4,,Golden Doodle,Golden Doodle,,
Dog,Mocha Antoinette,Mocha,Mocha,,,,,,,,7,,Mixed,Mixed,,
Dog,Oscar,Oscar,Oscar,,,,,,,,10,,Shepherd/ Labrador Retriever,Shepherd,Labrador Retriever,
Cat,Serena,Mouse Pie,Mouse Pie,,,,,,,,17,,Domestic Longhair,Domestic Longhair,,
Cat,Maxine Waters,Maxine,Maxine,,,,,,,,4,,,,,
Dog,Magnolia Mae,Noli,Noli,,,,,,,,2.5,,Great Pyrenees/ Labrador Retriever,Great Pyrenees,Labrador Retriever,
Dog,George Cooper,Georgie,Georgie,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Dog,Cayenne,Cayenne,Cayenne,,,,,,,,8,,German Shepherd,German Shepherd,,
Cat,Pip,Pip,Pip,,,,,,,,11,,Tuxedo Coloration,Tuxedo Coloration,,
Dog,Olive Oil,Olive,Olive,,,,,,,,2,,Australian Shepherd,Australian Shepherd,,
Rabbit,Iggy,Igs,Igs,,,,,,,,3,,Lop,Lop,,
Rabbit,Ziggy,Zigs,Zigs,,,,,,,,3,,Angora,Angora,,
Dog,Brook,Brookie,Brookie,,,,,,,,7,,Golden Retriever,Golden Retriever,,
Dog,Sparkie,Spark; Sparkie; Sparkle,Spark,Sparkie,Sparkle,,,,,,4,,Mixed,Mixed,,
Dog,Max,Maxie,Maxie,,,,,,,,16,,Cairn Terrier/  Kerry Blue Terrier/  Keeshond,Cairn Terrier,Kerry Blue Terrier,Keeshond
Dog,Howard,Howie,Howie,,,,,,,,10,,American Staffordshire Terrier,American Staffordshire Terrier,,
Cat,Samantha Bee,Sam,Sam,,,,,,,,3,,Tuxedo Coloration,Tuxedo Coloration,,
Dog,Ella Fitzgerald,Ella,Ella,,,,,,,,12,,Mixed,Mixed,,
Cat,Chanel,Teeny,Teeny,,,,,,,,6.5,,,,,
Fish,Commander Ambrose,The Commander,The Commander,,,,,,,,0.833333333,,Betta,Betta,,
Dog,Josephine Bakes,Josie,Josie,,,,,,,,5,,Pitbull/ Labrador Retriever,Pitbull,Labrador Retriever,
Dog,Lennie,Lennie,Lennie,,,,,,,,2,,Treeing Tennessee Brindle,Treeing Tennessee Brindle,,
Cat,Obsidian Jazz Paws,Ojp,Ojp,,,,,,,,1,,Unknown,Unknown,,
Cat,Scotty,Scotty,Scotty,,,,,,,,8,,Domestic Shorthair,Domestic Shorthair,,
Cat,Macallan,Mac,Mac,,,,,,,,8,,,,,
Dog,Cody James,Buddy,Buddy,,,,,,,,1.5,,Golden Retriever,Golden Retriever,,
Dog,Jake,Jake,Jake,,,,,,,,2,,Mixed,Mixed,,
Cat,Katie,Boo,Boo,,,,,,,,9,,Moggy,Moggy,,
Dog,Gail,Gail,Gail,,,,,,,,3,,Treeing Tennessee Brindle,Treeing Tennessee Brindle,,
Hamster,Bella,Bella,Bella,,,,,,,,2,,Russian Dwarf,Russian Dwarf,,
Cat,June Bug,June Bug,June Bug,,,,,,,,5,,,,,
Dog,Lucky,Luck; Luckboy; Luck Duck,Luck,Luckboy,Luck Duck,,,,,,3,,Jack Russell Terrier/ Beagle,Jack Russell Terrier,Beagle,
Dog,Darcy,Darcy,Darcy,,,,,,,,3,,Cocker Spaniel,Cocker Spaniel,,
Cat,Neko,Neko; Cat; Kitten,Neko,Cat,Kitten,,,,,,6,,Domestic Shorthair,Domestic Shorthair,,
Cat,Maisy,Maisy,Maisy,,,,,,,,7,,,,,
Dog,Luke Anakin,Luke,Luke,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Dog,Sadie,Sadie Pot Pie,Sadie Pot Pie,,,,,,,,10,,Mixed,Mixed,,
Dog,Hazel Nut,Hazel,Hazel,,,,,,,,3,,Australian Shepherd,Australian Shepherd,,
Cat,Mongoose,Goosey,Goosey,,,,,,,,1.916666667,,,,,
Cat,Flerf,Bab,Bab,,,,,,,,16,,Domestic Shorthair,Domestic Shorthair,,
Dog,Bourbon,Bourbon,Bourbon,,,,,,,,3,,Mixed,Mixed,,
Dog,Riley,Smiley Riley,Smiley Riley,,,,,,,,13,,Golden Retriever,Golden Retriever,,
Cat,Murphy,Murph,Murph,,,,,,,,13,,Domestic Shorthair,Domestic Shorthair,,
Dog,Mr. Nubs,Mr. Nubs,Mr. Nubs,,,,,,,,16,,Corgi,Corgi,,
Cat,Mackerel,Mack,Mack,,,,,,,,1.916666667,,,,,
Cat,Regis,Regis; Little Asshole,Regis,Little Asshole,,,,,,,0.833333333,,,,,
Cat,Laetynne Marah,Lae Lae,Lae Lae,,,,,,,,7,,Siamese,Siamese,,
Cat,Callie,Callie,Callie,,,,,,,,15,,Domestic Shorthair,Domestic Shorthair,,
Dog,Bentley,Bentley Boy,Bentley Boy,,,,,,,,3,,Labradoodle,Labradoodle,,
Cat,Crumb Bun,Bobo,Bobo,,,,,,,,9,,Tuxedo Coloration,Tuxedo Coloration,,
